x,y,z,resistivity,chargeability
509700,459396,601,74.72,19.02
509700,459396,601,172.17,18.06
510070,459110,591,302.5,16.27
510010,459200,593,263.95,16.39
510100,459398,604,737.41,18.52
509550,459392,608,60.56,12.59
510923,459037,581,968.7,14.21
510011,459400,608,656.23,18.99
510250,459399,602,1793.9,15.58
511160,459251,578,159.08,13.51
510625,459011,582,285.18,11.58
509870,459090,651,271.63,22.27
511121,459014,576,250.94,14.9
509925,459165,583,404.78,18.44
510011,459400,608,882.53,13.94
509820,459090,652,227.57,19.1
510719,459039,575,749.55,17.87
510970,459017,578,466.39,12.38
511133,458904,570,960.72,16.62
511120,459058,578,434.82,13.85
509824,459167,594,61.7,16.42
510011,459550,610,316.52,18.14
511161,458800,569,758.48,11.16
511073,459060,579,339.63,15.63
509650,459454,604,123.48,20.52
510420,459189,596,620.3,19.55
510520,459110,596,275.38,21.34
510970,459017,578,733.52,13.22
509770,459090,658,154.82,25.75
510220,459170,596,172.3,20.95
510521,459173,606,579.72,17.93
510070,459090,607,43.68,23.76
511163,459051,576,625.91,12.37
509974,459190,595,323.21,20.36
511170,459037,574,712.14,18.05
511135,458951,569,410.42,14.93
509823,459192,598,113.74,15.44
510070,459110,591,88.27,21.49
509767,459169,595,58.4,26.34
510571,459054,586,1973.76,15.61
510122,459191,595,366.54,16.18
511170,459060,578,278.45,10.02
509900,459442,601,158.28,17.1
511372,459061,573,816.02,11.73
509870,459169,591,328.97,14.96
510012,459850,610,593.07,23.13
511016,459050,576,997.92,16.02
509925,459165,583,268.18,19.64
510668,459038,577,900.57,17.23
510770,459039,578,225.4,19.91
509970,459110,625,257.07,16.43
509601,459395,602,51.31,17.16
510011,459550,610,205.85,19.18
509800,459444,604,42.56,28.31
509988,459150,590,194.42,18.74
510923,459037,581,985.35,17.51
509900,459442,601,157.98,17.71
511133,458904,570,1091.62,11.85
509991,459250,600,527.87,15.32
510013,459150,592,448.94,17.32
511125,459201,579,586.19,18.4
509991,459500,612,518.51,15.38
510220,459170,596,150.41,13.64
510676,459019,581,103.45,22.91
510721,459023,578,453.64,20.96
510000,459398,610,529.26,14.1
510324,459172,599,289.58,18.76
510100,459448,608,489.93,16.15
511123,458802,569,1241.4,12.75
510011,459550,610,831.29,13.24
510872,459059,578,507.28,13.98
509850,459400,600,137.94,22.47
511018,459099,577,534.03,11.22
510870,459035,578,963.77,8.72
511126,459100,577,1524.89,16.92
510011,459501,610,67.93,22.57
510270,459110,593,93.58,22.45
511120,459058,578,467.05,14.56
511020,459042,577,499.82,17.02
510921,459019,583,692.76,14.09
509968,459170,584,547.53,16.64
509899,459397,599,96.26,16.6
509968,459170,584,713.29,15.11
510872,459059,578,356.67,9.54
509987,459900,607,54.5,25.12
510270,459170,596,211.23,20.36
509850,459400,600,22.46,7.85
510012,459300,597,809.2,16.75
510625,459011,582,264.48,14.91
510010,459450,609,940.51,16.21
510011,459800,612,45.39,19.72
510012,459250,595,275.56,13.08
510200,459398,600,341.06,16.81
510824,459058,573,401.39,16.25
510625,459011,582,289.31,20.9
510569,459039,586,247.62,22.81
511170,459017,575,622.04,15.09
510622,459038,581,191.39,18.36
510010,459200,593,232.18,17.56
511520,459059,564,1566.58,8.61
510676,459019,581,239.04,15.08
511013,458849,567,203.43,8.47
510120,459165,601,160.68,23.07
509991,459250,600,697.35,14.2
509870,459090,651,407.14,17.01
509601,459395,602,47.91,17.4
511020,459017,576,328.74,12.16
511159,459100,578,471.76,12.59
509986,459300,601,624.22,16.49
510170,459090,601,70.78,16.74
511121,459014,576,356.82,15.88
511018,459062,580,503.01,18.08
511022,459598,591,598.25,15.18
509870,459110,625,130.58,26.46
509900,459442,601,148.79,19.33
511170,459037,574,314.16,13.44
509925,459165,583,404.55,18.0
511070,459019,576,429.08,15.54
509899,459397,599,96.29,20.77
509600,459458,609,35.13,16.51
510324,459172,599,204.93,20.02
511161,458800,569,383.79,17.33
510012,459250,595,148.77,11.27
511123,458802,569,858.69,18.11
510012,459100,590,388.99,15.88
510070,459090,607,189.91,16.96
510921,459063,579,563.16,13.37
510220,459104,601,48.19,25.09
510012,459350,604,223.71,15.23
509650,459454,604,56.03,20.29
510571,459054,586,390.27,15.72
510622,459038,581,591.77,17.41
511121,459014,576,292.37,13.33
509550,459392,608,37.5,22.08
509990,459700,613,57.81,22.41
509870,459110,625,600.42,17.74
510220,459094,601,48.16,24.27
510625,459011,582,157.79,22.3
511073,459060,579,682.79,15.5
511170,459037,574,214.34,12.79
510010,459450,609,942.38,14.73
510120,459090,607,161.11,20.74
510719,459039,575,235.61,17.06
509970,459110,625,41.25,10.89
510122,459191,595,130.45,21.79
510011,459400,608,897.19,14.14
509988,459150,590,678.25,16.06
511020,459150,581,453.22,12.25
509770,459110,624,70.8,19.07
510220,459170,596,84.1,20.19
509900,459442,601,59.0,14.79
510415,459173,593,625.87,20.48
510923,459037,581,804.21,11.81
509990,459350,606,273.62,13.85
509992,459100,589,317.12,15.03
