x,y,z,resistivity,chargeability,profil_id
509824,459167,594,415.36,12.09,profil 10
509824,459167,594,144.29,14.07,profil 10
509824,459167,594,105.16,15.98,profil 10
509824,459167,594,98.4,14.43,profil 10
509824,459167,594,61.7,16.42,profil 10
509824,459167,594,75.27,21.53,profil 10
509824,459167,594,71.83,21.18,profil 10
509824,459167,594,24.52,2.43,profil 10
509870,459169,591,1424.94,12.76,profil 10
509870,459169,591,533.77,13.27,profil 10
509870,459169,591,329.71,15.03,profil 10
509870,459169,591,303.15,14.81,profil 10
509870,459169,591,193.96,16.84,profil 10
509870,459169,591,206.99,19.6,profil 10
509870,459169,591,164.06,21.35,profil 10
509870,459169,591,1421.84,12.79,profil 10
509870,459169,591,532.61,13.29,profil 10
509870,459169,591,328.97,14.96,profil 10
509870,459169,591,302.56,14.97,profil 10
509870,459169,591,193.49,16.8,profil 10
509870,459169,591,206.54,19.56,profil 10
509870,459169,591,163.7,21.09,profil 10
509870,459169,591,58.19,8.54,profil 10
509925,459165,583,594.55,12.16,profil 10
509925,459165,583,512.56,13.98,profil 10
509925,459165,583,513.21,14.18,profil 10
509925,459165,583,320.01,15.87,profil 10
509925,459165,583,404.55,18.0,profil 10
509925,459165,583,360.54,18.75,profil 10
509925,459165,583,213.42,11.78,profil 10
509925,459165,583,28.36,31.21,profil 10
509925,459165,583,25.84,26.89,profil 10
509925,459165,583,594.24,12.1,profil 10
509925,459165,583,512.25,13.91,profil 10
509925,459165,583,512.97,14.12,profil 10
509925,459165,583,319.88,15.8,profil 10
509925,459165,583,404.78,18.44,profil 10
509925,459165,583,268.18,19.64,profil 10
509925,459165,583,122.12,12.96,profil 10
509925,459165,583,56.19,10.49,profil 10
509925,459165,583,28.53,20.24,profil 10
509925,459165,583,26.04,23.2,profil 10
509968,459170,584,671.83,15.56,profil 10
509968,459170,584,713.29,15.11,profil 10
509968,459170,584,547.94,16.68,profil 10
509968,459170,584,630.19,19.15,profil 10
509968,459170,584,467.95,19.88,profil 10
509968,459170,584,241.76,14.75,profil 10
509968,459170,584,169.43,17.84,profil 10
509968,459170,584,127.23,24.15,profil 10
509968,459170,584,671.29,15.52,profil 10
509968,459170,584,712.71,15.06,profil 10
509968,459170,584,547.53,16.64,profil 10
509968,459170,584,629.72,19.09,profil 10
509968,459170,584,467.45,19.76,profil 10
509968,459170,584,241.63,15.4,profil 10
509968,459170,584,169.33,16.89,profil 10
509968,459170,584,127.01,22.28,profil 10
509968,459170,584,103.75,23.43,profil 10
509968,459170,584,71.34,24.22,profil 10
510022,459171,591,515.25,14.48,profil 10
510022,459171,591,538.05,16.19,profil 10
510022,459171,591,722.19,18.62,profil 10
510022,459171,591,500.19,19.88,profil 10
510022,459171,591,323.37,15.73,profil 10
510022,459171,591,236.34,17.63,profil 10
510022,459171,591,167.9,22.27,profil 10
